DATE,vwretd,vwretx,totval
19450131,0.020218,0.018951,47861970.30
19450228,0.064477,0.059894,50725183.60
19450331,-0.039177,-0.043164,48551743.80
19450430,0.078232,0.076981,52320643.20
19450531,0.018185,0.012439,53195465.90
19450630,0.004676,0.001087,53280582.20
19450731,-0.022066,-0.023305,52100238.70
19450831,0.061826,0.057147,55085728.90
19450929,0.048297,0.044969,57574558.40
19451031,0.038749,0.037605,59843229.60
19451130,0.054859,0.047862,62791336.90
19451231,0.013003,0.009218,64330622.10
19460131,0.063402,0.062228,68731812.20
19460228,-0.058257,-0.061743,64569815.20
19460330,0.057941,0.054620,68233191.80
19460430,0.042293,0.041154,71172742.70
19460531,0.040195,0.036075,74107548.40
19460628,-0.038668,-0.041517,71074175.80
19460731,-0.026309,-0.027697,69502251.40
19460830,-0.064468,-0.068420,64837647.70
19460930,-0.102023,-0.105410,58060902.10
19461031,-0.014164,-0.015903,57167870.20
19461130,0.000697,-0.006475,56835601.40
19461231,0.050161,0.043412,59684383.60
19470131,0.013084,0.011536,60526667.40
19470228,-0.011091,-0.016381,59499052.90
19470331,-0.016790,-0.020805,58418819.40
19470430,-0.047698,-0.049487,55589691.90
19470529,-0.009625,-0.016317,54724421.80
19470630,0.053226,0.048538,57529909.80
19470731,0.041348,0.039342,59903329.30
19470829,-0.017357,-0.022668,58761652.30
19470930,-0.004667,-0.009473,58303587.20
19471031,0.024831,0.022847,59635995.60
19471129,-0.018750,-0.028514,58106114.10
19471231,0.030708,0.023249,59885360.70
19480131,-0.037908,-0.039685,57712665.30
19480228,-0.043422,-0.049502,54814210.50
19480331,0.082628,0.076865,59197575.90
19480430,0.038128,0.035972,61466980.10
19480528,0.074319,0.068382,65705104.80
19480630,-0.000280,-0.005419,65379874.80
19480730,-0.050288,-0.051750,61917670.80
19480831,0.003762,-0.002900,61768642.90
19480930,-0.029813,-0.035123,59651125.00
19481030,0.060316,0.057425,63079798.30
19481130,-0.092077,-0.102565,56644518.40
19481231,0.032566,0.024024,58301258.20
19490131,0.003074,0.001118,58472474.50
19490228,-0.028852,-0.036237,56507502.40
19490331,0.041537,0.035339,58559914.80
19490430,-0.017972,-0.020566,57516447.10
19490531,-0.028488,-0.035515,55568472.90
19490630,0.002180,-0.004382,55347129.80
19490729,0.056377,0.054776,58511144.00
19490831,0.026916,0.018887,59665079.90
19490930,0.032082,0.027265,61622369.60
19491031,0.031801,0.030002,63446520.80
19491130,0.018535,0.004549,63869080.00
19491231,0.052267,0.044769,67344403.40
19500131,0.017764,0.015872,68546982.00
19500228,0.015234,0.008173,69166503.10
19500331,0.012742,0.007457,70025751.80
19500429,0.040678,0.038736,72768915.40
19500531,0.044173,0.036817,75787265.90
19500630,-0.058018,-0.062799,71044150.40
19500731,0.016122,0.014577,72227888.40
19500831,0.050875,0.040213,75228994.40
19500929,0.049044,0.044122,78695005.80
19501031,-0.001184,-0.002931,78547971.90
19501130,0.029056,0.012268,79529141.10
19501230,0.057946,0.051048,84833973.90
19510131,0.058735,0.056761,89821367.90
19510228,0.014086,0.007435,90671487.80
19510331,-0.021115,-0.025753,88759457.70
19510430,0.050061,0.048488,93183088.60
19510531,-0.022464,-0.029970,90515704.10
19510629,-0.025533,-0.029834,88262493.90
19510731,0.071611,0.070243,94482895.50
19510831,0.045004,0.036750,97941440.00
19510928,0.009087,0.005339,98477508.70
19511031,-0.022629,-0.024556,96107802.90
19511130,0.006193,-0.004035,95971264.40
19511231,0.035266,0.030241,100725150.00
19520131,0.017002,0.015420,102408916.00
19520229,-0.025141,-0.032328,99137901.30
19520331,0.045870,0.041726,103564260.00
19520430,-0.049148,-0.050847,98363134.40
19520529,0.032847,0.025367,100960672.00
19520630,0.039575,0.035588,104657381.00
19520731,0.011404,0.009897,105764722.00
19520829,-0.006733,-0.013803,104261698.00
19520930,-0.019147,-0.023065,102115737.00
19521031,-0.005309,-0.006960,101316166.00
19521128,0.059347,0.049762,106401986.00
19521231,0.031066,0.026399,111187860.00
19530130,-0.001644,-0.002728,110941958.00
